ATC_code,applicant,composition,dosage_form,international_name,link_of_instruction,manufacturer,number_of_certificate,original,prescribed,registration_date,storage_list,term_of_usage,trade_name,validity
R01AA05,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Oxymetazoline,"спрей назальный дозированный 0,05% во флаконах 15мл в упаковке №1",Oxymetazoline,https://rceth.by//NDfiles/instr/8309_07_10_12_17_i.pdf,"Pharmacare PLC, Палестина",8309/07/10/12/17,генерик,без рецепта,07.07.2017,,3 года,НОЗАКАР ЭКСТРА УВЛАЖНЯЮЩИЙ,бессрочно
C01CA03,"Ферейн СОАО, Республика Беларусь",Norepinephrine,концентрат для приготовления раствора для внутривенного введения 2мг/мл в ампулах 4мл в упаковке №5х2,Norepinephrine,"https://rceth.by//NDfiles/instr/21_08_2596_p.pdf,https://rceth.by//NDfiles/instr/21_08_2596_s.pdf","Ферейн СОАО, Республика Беларусь",21/08/2596,генерик,по рецепту,24.08.2021,,2 года,НОРАДРЕНАЛИН,бессрочно
R01AA05,"Фармтехнология ООО, Республика Беларусь",Oxymetazoline,"капли назальные 0,1мг/мл во флаконах 10мл в упаковке №1,капли назальные 0,25мг/мл во флаконах 10мл в упаковке №1,капли назальные 0,5мг/мл во флаконах 10мл в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/22_02_708_p.pdf,https://rceth.by//NDfiles/instr/22_02_708_s.pdf","Фармтехнология ООО, Республика Беларусь",22/02/708,генерик,без рецепта,02.04.2018,,3 года,НОКСИВИН,бессрочно
R01AA05,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Oxymetazoline,"спрей назальный дозированный 0,05% во флаконах 15мл в упаковке №1",Oxymetazoline,https://rceth.by//NDfiles/instr/8308_07_10_12_17_i.pdf,"Pharmacare PLC, Палестина",8308/07/10/12/17,генерик,без рецепта,07.07.2017,,3 года,НОЗАКАР МЕНТО,бессрочно
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"капли назальные 0,1мг/мл во флаконах 10мл в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/20_11_3075_p.pdf,https://rceth.by//NDfiles/instr/20_11_3075_s.pdf","Ламира-Фармакар ООО, Республика Беларусь",20/11/3075,генерик,без рецепта,02.11.2020,,2 года,НОЗАКАР ИНФАНТ,02.11.2025
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"спрей назальный 0,5мг/г во флаконах 15г в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/21_06_3153_p.pdf,https://rceth.by//NDfiles/instr/21_06_3153_s.pdf","Ламира-Фармакар ООО, Республика Беларусь",21/06/3153,генерик,без рецепта,30.06.2021,,2 года,НОЗАКАР ГЕЛЬ МЯТА,30.06.2026
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"спрей назальный 0,5мг/г во флаконах 15г в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/21_06_3152_p.pdf,https://rceth.by//NDfiles/instr/21_06_3152_s.pdf","Ламира-Фармакар ООО, Республика Беларусь",21/06/3152,генерик,без рецепта,30.06.2021,,2 года,НОЗАКАР ГЕЛЬ,30.06.2026
N06BX22,"Олайнфарм АО, Латвия",Phenibut,порошок для приготовления  раствора для  приема внутрь 100мг в пакетах в упаковке №15,Phenibut,"https://rceth.by//NDfiles/instr/9840_11_17_s.pdf,https://rceth.by//NDfiles/instr/9840_11_17_p.pdf","Олайнфарм АО, Латвия",9840/11/17,оригинальное,по рецепту,22.02.2017,,2 года,НООФЕН 100,бессрочно
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"спрей назальный дозированный 0,5мг/мл во флаконах 15мл в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/20_09_3063_p.pdf,https://rceth.by//NDfiles/instr/20_09_3063_s.pdf","Ламира-Фармакар ООО, Республика Беларусь",21/12/3063,генерик,без рецепта,29.09.2020,,2 года,НОЗАКАР ПРО УВЛАЖНЕНИЕ,29.09.2025
R01AA05,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Oxymetazoline,"спрей назальный дозированный 0,025% во флаконах 15мл в упаковке №1",Oxymetazoline,https://rceth.by//NDfiles/instr/8307_07_10_12_17_i.pdf,"Pharmacare PLC, Палестина",8307/07/10/12/17,генерик,без рецепта,07.07.2017,,3 года,НОЗАКАР БЕБИ,бессрочно
N06BX22,"Олайнфарм АО, Латвия",Phenibut,капсулы 500мг в контурной ячейковой упаковке №6х4,Phenibut,https://rceth.by//NDfiles/instr/10140_13_15_18_20_i.pdf,"Олайнфарм АО, Латвия",10140/13/15/18/20,оригинальное,по рецепту,30.05.2018,,3 года,НООФЕН,бессрочно
L02BB06,"Bayer AG, Германия",Darolutamide,"таблетки, покрытые пленочной оболочкой, 300мг в блистерах в упаковке №16х7",Darolutamide,"https://rceth.by//NDfiles/instr/10887_20_p.pdf,https://rceth.by//NDfiles/instr/10887_20_s.pdf","Orion Corporation, Orion Pharma, Финляндия",10887/20,оригинальное,по рецепту,23.12.2020,,3 года,НУБЕКА,23.12.2025
R02AA,"БелАсептика ЗАО, Республика Беларусь",Antiseptics,измельченное сырье  50г в пачке,Antiseptics,"https://rceth.by//NDfiles/instr/19_04_1549_p.pdf,https://rceth.by//NDfiles/instr/19_04_1549_s.pdf","БелАсептика ЗАО, Республика Беларусь",19/04/1549,генерик,без рецепта,29.04.2019,,2 года,НОГОТКОВ ЦВЕТКИ,бессрочно
N07XX,"Белмедпрепараты РУП, Республика Беларусь",Fatty acid derivatives,"капсулы  в контурной  ячейковой упаковке №10х2, №10х3, №10х5",Fatty acid derivatives,"https://rceth.by//NDfiles/instr/20_10_2517_p.pdf,https://rceth.by//NDfiles/instr/20_10_2517_s.pdf","Белмедпрепараты РУП, Республика Беларусь",20/10/2517,оригинальное,по рецепту,26.10.2020,,2 года,НООДИАМИН,бессрочно
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"спрей назальный 0,25мг/мл во флаконах 15мл в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/20_09_3062_s.pdf,https://rceth.by//NDfiles/instr/20_09_3062_p.pdf","Ламира-Фармакар ООО, Республика Беларусь",20/09/3062,генерик,без рецепта,29.09.2020,,2 года,НОЗАКАР КИДС,29.09.2025
R02AA,"Калина ООО, Республика Беларусь",Antiseptics,измельченное сырье  50г в пачке,Antiseptics,"https://rceth.by//NDfiles/instr/19_09_687_p.pdf,https://rceth.by//NDfiles/instr/19_09_687_s.pdf","Калина ООО, Республика Беларусь",19/09/687,генерик,без рецепта,02.09.2019,,2 года,НОГОТКОВ ЦВЕТКИ,бессрочно
N05CX,"TEVA Pharmaceutical Industries Ltd., Израиль","Hypnotics and sedatives in combination, excl. barbiturates",раствор для приема внутрь  во флаконах 100мл с мерным колпачком в упаковке №1,"Hypnotics and sedatives in combination, excl. barbiturates","https://rceth.by//NDfiles/instr/2332_97_02_05_07_12_17_p.pdf,https://rceth.by//NDfiles/instr/2332_97_02_05_07_12_17_s.pdf","TEVA Czech Industries s.r.o., Чешская Республика",2332/97/02/05/07/12/17,генерик,без рецепта,30.10.2017,,4 года,НОВО-ПАССИТ,бессрочно
R02AA20,"БИОТЕСТ НПК ООО, Республика Беларусь",Calendula officinalis L.,"измельченное сырье  40г, 50г в пачке",Calendula officinalis L.,"https://rceth.by//NDfiles/instr/17_08_604_p.pdf,https://rceth.by//NDfiles/instr/17_08_604_s.pdf","БИОТЕСТ НПК ООО, Республика Беларусь",17/08/604,генерик,без рецепта,22.08.2017,,2 года,НОГОТКОВ ЦВЕТКИ,бессрочно
R02AA,"Падис`C ООО, Республика Беларусь",Calendula officinalis L.,"порошок крупный  1,2г в фильтр-пакетах №20 в пачке",Calendula officinalis L.,"https://rceth.by//NDfiles/instr/16_01_1844_p.pdf,https://rceth.by//NDfiles/instr/16_01_1844_s.pdf","Падис`C ООО, Республика Беларусь",16/01/1844,генерик,без рецепта,28.01.2016,,2 года,НОГОТКОВ (КАЛЕНДУЛЫ) ЦВЕТКИ,бессрочно
R02AA,"Падис`C ООО, Республика Беларусь",Calendula officinalis L.,измельченное сырье  40г в пачке,Calendula officinalis L.,"https://rceth.by//NDfiles/instr/16_01_897_p.pdf,https://rceth.by//NDfiles/instr/16_01_897_s.pdf","Падис`C ООО, Республика Беларусь",16/01/897,генерик,без рецепта,28.01.2016,,2 года,НОГОТКОВ (КАЛЕНДУЛЫ) ЦВЕТКИ,бессрочно
R01AA05,"Pharmacare Int. Co./German Palestinian Joint Venture, Палестина",Oxymetazoline,"спрей назальный дозированный 0,05% во флаконах 15мл в упаковке №1",Oxymetazoline,https://rceth.by//NDfiles/instr/1303_95_01_06_10_11_17_i.pdf,"Pharmacare PLC, Палестина",1303/95/01/06/10/11/17,генерик,без рецепта,25.09.2017,,5 лет,НОЗАКАР,бессрочно
R02AA,"Коммунальное сельскохозяйственное унитарное предприятие Совхоз Большое Можейково, Республика Беларусь",Antiseptics,"цельное сырье  100г в пачке,цельное сырье  50г в пачке",Antiseptics,"https://rceth.by//NDfiles/instr/17_04_1947_p.pdf,https://rceth.by//NDfiles/instr/17_04_1947_s.pdf","Коммунальное сельскохозяйственное унитарное предприятие Совхоз Большое Можейково, Республика Беларусь",17/04/1947,генерик,без рецепта,27.04.2017,,2 года,НОГОТКОВ ЦВЕТКИ,бессрочно
R01AA05,"Ламира-Фармакар ООО, Республика Беларусь",Oxymetazoline,"спрей назальный дозированный 0,5мг/мл во флаконах 15мл в упаковке №1",Oxymetazoline,"https://rceth.by//NDfiles/instr/20_05_3023_p.pdf,https://rceth.by//NDfiles/instr/20_05_3023_s.pdf","Ламира-Фармакар ООО, Республика Беларусь",20/05/3023,генерик,без рецепта,18.05.2020,,2 года,НОЗАКАР КЛАССИК,18.05.2025
A10AB05,"Novo Nordisk A/S, Дания",Insulin aspart,"раствор для подкожного введения 100 ЕД/мл в картридже 3мл, установленном в пластиковую шприц-ручку для многократных инъекций, в упаковке №5",Insulin aspart,"https://rceth.by//NDfiles/instr/10907_21_s.pdf,https://rceth.by//NDfiles/instr/10907_21_p.pdf","Novo Nordisk A/S, Дания",10907/21/23,оригинальное,по рецепту,28.01.2021,,30 мес.,НОВОРАПИД ФЛЕКСПЕН,28.01.2026
N01BA02,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Procaine,раствор для инъекций 5мг/мл в ампулах 5мл в упаковке №10,Procaine,"https://rceth.by//NDfiles/instr/21_03_227_p.pdf,https://rceth.by//NDfiles/instr/21_03_227_s.pdf","Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",21/03/227,генерик,по рецепту,28.07.2016,,3 года,НОВОКАИН,бессрочно
N01BA02,"Несвижский завод медицинских препаратов, ОАО, Республика Беларусь",Procaine,"раствор для инъекций 10мг/мл в бутылках стеклянных 100мл в упаковке №20, №35, №40,раствор для инъекций 10мг/мл в бутылках стеклянных 200мл в упаковке №20, №24, №40",Procaine,"https://rceth.by//NDfiles/instr/23_03_1339_p.pdf,https://rceth.by//NDfiles/instr/23_03_1339_s.pdf","Несвижский завод медицинских препаратов, ОАО, Республика Беларусь",23/03/1339,генерик,по рецепту,28.07.2016,,3 года,НОВОКАИН,бессрочно
N01BA02,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",Procaine,"раствор для инъекций 2,5мг/мл в полимерных контейнерах 100мл в упаковке №1,раствор для инъекций 2,5мг/мл в полимерных контейнерах 100мл в упаковке №100,раствор для инъекций 2,5мг/мл в полимерных контейнерах 250мл в упаковке №1,раствор для инъекций 2,5мг/мл в полимерных контейнерах 250мл в упаковке №55,раствор для инъекций 2,5мг/мл в полимерных контейнерах 500мл в упаковке №1,раствор для инъекций 2,5мг/мл в полимерных контейнерах 500мл в упаковке №30,раствор для инъекций 5,0мг/мл в полимерных контейнерах 100мл в упаковке №1,раствор для инъекций 5,0мг/мл в полимерных контейнерах 100мл в упаковке №100,раствор для инъекций 5,0мг/мл в полимерных контейнерах 250мл в упаковке №1,раствор для инъекций 5,0мг/мл в полимерных контейнерах 250мл в упаковке №55,раствор для инъекций 5,0мг/мл в полимерных контейнерах 500мл в упаковке №1,раствор для инъекций 5,0мг/мл в полимерных контейнерах 500мл в упаковке №30",Procaine,https://rceth.by//NDfiles/instr/18_05_893_i.pdf,"Белорусско-голландское совместное предприятие общество с ограниченной ответственностью Фармлэнд (СП ООО Фармлэнд), Республика Беларусь",18/05/893,генерик,по рецепту,25.05.2016,,2 года,НОВОКАИН,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Procainamide,субстанция,Procainamide,,"ОРГАНИКА АО, Российская Федерация",769/05/10/12/15/18/22,не определено,,04.08.2022,,3 года,НОВОКАИНАМИД,бессрочно
C01BA02,"Белмедпрепараты РУП, Республика Беларусь",Procainamide,"раствор для внутривенного введения 100мг/мл в ампулах 5мл в контурной ячейковой упаковке №5х1, №5х2",Procainamide,https://rceth.by//NDfiles/instr/18_03_1081_i.pdf,"Белмедпрепараты РУП, Республика Беларусь",18/03/1081,генерик,по рецепту,01.03.2018,,5 лет,НОВОКАИНАМИД,бессрочно
N01BA02,"Несвижский завод медицинских препаратов, ОАО, Республика Беларусь",Procaine,"раствор для инъекций 2,5мг/мл в бутылках стеклянных 200мл в упаковке №20, №40,раствор для инъекций 2,5мг/мл в бутылках стеклянных 200мл в упаковке №24,раствор для инъекций 2,5мг/мл в бутылках стеклянных 400мл в упаковке №12, №24,раствор для инъекций 5мг/мл в бутылках стеклянных 200мл в упаковке №20, №40,раствор для инъекций 5мг/мл в бутылках стеклянных 200мл в упаковке №24,раствор для инъекций 5мг/мл в бутылках стеклянных 400мл в упаковке №12, №24",Procaine,"https://rceth.by//NDfiles/instr/23_03_202_p.pdf,https://rceth.by//NDfiles/instr/23_03_202_s.pdf","Несвижский завод медицинских препаратов, ОАО, Республика Беларусь",23/03/202,генерик,для стационаров,04.04.2016,,3 года,НОВОКАИН,бессрочно
H02AB06,"ФЗ БИОФАРМА ООО, Украина",Prednisolone,раствор для инъекций 30мг/мл в ампулах 1мл в блистерной упаковке №5х1,Prednisolone,"https://rceth.by//NDfiles/instr/9329_10_12_15_20_21_p.pdf,https://rceth.by//NDfiles/instr/9329_10_12_15_20_21_s.pdf","ФЗ БИОФАРМА ООО, Украина",9329/10/12/15/20/21,генерик,по рецепту,08.06.2021,,2 года,ПРЕДНИЗОЛОН,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Prednisolone,субстанция,Prednisolone,,"Zhejiang Xianju Pharmaceutical Co. Ltd., Китай",488/02/10/15,,,30.11.2015,,5 лет,ПРЕДНИЗОЛОН,бессрочно
,"Ферейн СОАО, Республика Беларусь",Prednisolone,субстанция,Prednisolone,,"Baoji Guokang Bio-Technology Co., Ltd, Китай",1996/15/20,не определено,,08.12.2020,,3 года,ПРЕДНИЗОЛОНА НАТРИЯ ФОСФАТ,бессрочно
,"Открытое акционерное общество Борисовский завод медицинских препаратов, Республика Беларусь",Prednisolone,субстанция,Prednisolone,,"Zhejiang Xianju Pharmaceutical Co. Ltd., Китай",725/05/10/16,,,12.04.2016,,5 лет,ПРЕДНИЗОЛОН,бессрочно
G04BD04,"Белмедпрепараты РУП, Республика Беларусь",Oxybutynin,таблетки 5мг в контурной ячейковой упаковке №10х2,Oxybutynin,"https://rceth.by//NDfiles/instr/21_03_1243_p.pdf,https://rceth.by//NDfiles/instr/21_03_1243_s.pdf","CTS Chemical Industries Ltd., Израиль расфасовано Белмедпрепараты РУП, Республика Беларусь",21/03/1243,генерик,по рецепту,16.03.2021,,3 года,НОВИТРОПАН,бессрочно
N05CX,"TEVA Czech Industries s.r.o., Чешская Республика","Hypnotics and sedatives in combination, excl. barbiturates","таблетки, покрытые оболочкой,  в блистерах в упаковке №10х1, №10х3,таблетки, покрытые оболочкой,  во флаконах №30 в упаковке №1","Hypnotics and sedatives in combination, excl. barbiturates","https://rceth.by//NDfiles/instr/5944_02_07_13_18_p.pdf,https://rceth.by//NDfiles/instr/5944_02_07_13_18_s.pdf","TEVA Czech Industries s.r.o., Чешская Республика",5944/02/07/13/18,генерик,без рецепта,28.06.2018,,3 года,НОВО-ПАССИТ,бессрочно
N03AX16,"Лекфарм СООО, Республика Беларусь",Pregabalin,"капсулы 150 мг в контурной  ячейковой упаковке №10х3,капсулы 300 мг в контурной  ячейковой упаковке №10х3,капсулы 75 мг в контурной  ячейковой упаковке №10х3",Pregabalin,"https://rceth.by//NDfiles/instr/21_07_3164_p.pdf,https://rceth.by//NDfiles/instr/21_07_3164_s.pdf","Лекфарм СООО, Республика Беларусь",21/07/3164,генерик,по рецепту,21.07.2021,,2 года,ПРЕГАБАЛИН-ЛФ,21.07.2026
H02AB06,"Белмедпрепараты РУП, Республика Беларусь",Prednisolone,"таблетки 5мг в контурной ячейковой упаковке №10х1, №10х5,таблетки 5мг в контурной ячейковой упаковке №10х350",Prednisolone,"https://rceth.by//NDfiles/instr/16_10_352_s.pdf,https://rceth.by//NDfiles/instr/16_10_352_p.pdf","Белмедпрепараты РУП, Республика Беларусь",16/10/352,генерик,по рецепту,12.10.2016,,3 года,ПРЕДНИЗОЛОН-БЕЛМЕД,бессрочно
,"Ферейн СОАО, Республика Беларусь",Prednisolone,субстанция,Prednisolone,,"Henan Lihua Pharmaceutical Co Ltd., Китай",1675/12/21,не определено,,23.04.2021,,3 года,ПРЕДНИЗОЛОНА НАТРИЯ ФОСФАТ,бессрочно
,"Белмедпрепараты РУП, Республика Беларусь",Pregabalin,субстанция,Pregabalin,,"Optimus Drugs (P) Limited, Индия",2091/16/17/21,не определено,,02.03.2016,,2 года,ПРЕГАБАЛИН,бессрочно
J05AX05,"Киевский витаминный завод АО, Украина",Inosine pranobex,"таблетки 500 мг в блистерах в упаковке № 10x2, 10x4",Inosine pranobex,"https://rceth.by//NDfiles/instr/10857_20_p.pdf,https://rceth.by//NDfiles/instr/10857_20_s.pdf","Киевский витаминный завод АО, Украина",10857/20,генерик,по рецепту,29.09.2020,,3 года,НОВИРИН,29.09.2025
N03AX16,"Белмедпрепараты РУП, Республика Беларусь",Pregabalin,"капсулы 150мг в контурной  ячейковой упаковке №10х1, №10х2, №10х5,капсулы 300мг в контурной  ячейковой упаковке №10х1, №10х2, №10х5,капсулы 75мг в контурной  ячейковой упаковке №10х1, №10х2, №10х5",Pregabalin,"https://rceth.by//NDfiles/instr/23_11_2919_s.pdf,https://rceth.by//NDfiles/instr/23_11_2919_p.pdf","Белмедпрепараты РУП, Республика Беларусь",23/11/2919,генерик,по рецепту,20.11.2023,,2 года,ПРЕГАБАЛИН-БЕЛМЕД,бессрочно
,"Лекфарм СООО, Республика Беларусь",Pregabalin,субстанция,Pregabalin,,"Zhejiang Huahai Pharmaceutical Co., Ltd, Китай",2199/16,генерик,,16.12.2016,,2 года,ПРЕГАБАЛИН,бессрочно
,"Лекфарм СООО, Республика Беларусь",Pregabalin,субстанция,Pregabalin,,"Kopran Research Laboratories Limited, Индия",2641/21/21/23,генерик,,01.02.2021,,5 лет,ПРЕГАБАЛИН,бессрочно
N03AX16,"Белалек ООО, Республика Беларусь",Pregabalin,"капсулы 150мг в контурной ячейковой упаковке №10х1, №10х2, №10х3, №10х6, №14х1, №14х2, №14х5,капсулы 300мг в контурной ячейковой упаковке №10х1, №10х2,капсулы 75мг в контурной ячейковой упаковке №10х1, №10х2, №10х3, №10х6, №14х1, №14х2, №14х5",Pregabalin,"https://rceth.by//NDfiles/instr/23_09_2830_s.pdf,https://rceth.by//NDfiles/instr/23_09_2830_p.pdf","Hetero Labs Limited, Индия упаковано Белалек ООО, Республика Беларусь",23/09/2830,генерик,по рецепту,02.06.2023,,3 года,ПРЕГА,бессрочно
,"Рубикон ООО, Республика Беларусь",Pramipexole,субстанция,Pramipexole,,"Crystal Pharma S.A.U., Испания",2592/20,не определено,,18.08.2020,,5 лет,ПРАМИПЕКСОЛА ДИГИДРОХЛОРИД МОНОГИДРАТ,бессрочно
N03AX16,"Gedeon Richter Plc., Венгрия",Pregabalin,"капсулы 150мг в блистерах в упаковке №14х1, №14х4,капсулы 300мг в блистерах в упаковке №14х1, №14х4,капсулы 75мг в блистерах в упаковке №14х1, №14х4",Pregabalin,"https://rceth.by//NDfiles/instr/10241_14_18_19_s.pdf,https://rceth.by//NDfiles/instr/10241_14_18_19_p.pdf","Гедеон Рихтер-РУС АО, Российская Федерация",10241/14/18/19,генерик,по рецепту,28.01.2019,,3 года,ПРЕГАБАЛИН-РИХТЕР,бессрочно
N04BC05,"INTELI GENERICS NORD UAB, Литовская Республика",Pramipexole,"таблетки пролонгированного действия 0,375мг в блистерах   в упаковке №10х3,таблетки пролонгированного действия 0,75мг в блистерах   в упаковке №10х3,таблетки пролонгированного действия 1,5мг в блистерах   в упаковке №10х3",Pramipexole,https://rceth.by//NDfiles/instr/10399_15_16_16_21_23_i.pdf,"Laboratorios Normon S.A., Испания",10399/15/16/16/21/23,генерик,по рецепту,07.09.2021,,3 года,ПРАМИЛОНГ,бессрочно
V03AB37,"Boehringer Ingelheim International GmbH, Германия",Idarucizumab,"раствор для внутривенного введения 2,5г/50мл во флаконах 50мл в упаковке №2х1",Idarucizumab,"https://rceth.by//NDfiles/instr/10526_16_17_22_22_23_s.pdf,https://rceth.by//NDfiles/instr/10526_16_17_22_22_p.pdf","Boehringer Ingelheim Pharma GmbH & Co. KG, Германия",10526/16/17/22/22/23,оригинальное,по рецепту,07.09.2022,,4 года,ПРАКСБАЙНД,бессрочно
J07AL02,"Pfizer H.C.P. Corporation, США","Pneumococcus, purified polysaccharides antigen conjugated","суспензия для внутримышечного введения  в шприцах 0,5мл с иглой стерильной в пластиковой упаковке в картонной пачке №1х1, №5х2, №5х10","Pneumococcus, purified polysaccharides antigen conjugated","https://rceth.by//NDfiles/instr/9927_12_15_16_17_19_s.pdf,https://rceth.by//NDfiles/instr/9927_12_15_16_17_19_p.pdf","Pfizer H.C.P. Corporation, США/ Pfizer Ireland Pharmaceuticals, Ирландия/ Pfizer Manufacturing Belgium N.V., Бельгия",9927/12/15/16/17/19,оригинальное,по рецепту,29.03.2017,,3 года,ПРЕВЕНАР 13,бессрочно
B01AE07,"Boehringer Ingelheim International GmbH, Германия",Dabigatran etexilate,"капсулы 110мг в блистерах в упаковке №10х3,капсулы 75мг в блистерах в упаковке №10х1",Dabigatran etexilate,"https://rceth.by//NDfiles/instr/8992_09_10_14_15_16_17_19_20_p.pdf,https://rceth.by//NDfiles/instr/8992_09_10_14_15_16_17_19_20_s.pdf","Boehringer Ingelheim Pharma GmbH & Co. KG, Германия",8992/09/10/14/15/16/17/19/20,оригинальное,по рецепту,29.07.2019,,3 года,ПРАДАКСА,бессрочно
G04BE03,"Белмедпрепараты РУП, Республика Беларусь",Sildenafil,капсулы 50мг в контурной ячейковой упаковке №2х1,Sildenafil,"https://rceth.by//NDfiles/instr/23_07_1099_p.pdf,https://rceth.by//NDfiles/instr/23_07_1099_s.pdf","Белмедпрепараты РУП, Республика Беларусь",23/07/1099,генерик,по рецепту,28.07.2016,,4 года,ПОТЕНЦАГРА,бессрочно
S01GX09,"Иностранное производственно-торговое унитарное предприятие Реб-Фарма, Республика Беларусь",Olopatadine,капли глазные 1мг/мл во флаконах-капельницах 5мл в упаковке №1,Olopatadine,https://rceth.by//NDfiles/instr/20_08_2428_i.pdf,"Idol Ilac Dolum Sanayi ve Ticaret A.S., Турция/ Иностранное производственно-торговое унитарное предприятие Реб-Фарма, Республика Беларусь",20/08/2428,генерик,по рецепту,10.08.2020,,3 года,ПОТАДИН,бессрочно
D07AA03,"Белмедпрепараты РУП, Республика Беларусь",Prednisolone,мазь для  наружного  применения 5мг/г в тубах 10г в упаковке №1,Prednisolone,"https://rceth.by//NDfiles/instr/17_11_444_p.pdf,https://rceth.by//NDfiles/instr/17_11_444_s.pdf","Белмедпрепараты РУП, Республика Беларусь",17/11/444,генерик,по рецепту,08.11.2017,,2 года,ПРЕДНИЗОЛОН,бессрочно
B01AE07,"Boehringer Ingelheim International GmbH, Германия",Dabigatran etexilate,"капсулы 150мг в блистерах в упаковке №10х1, №10х3, №10х6",Dabigatran etexilate,"https://rceth.by//NDfiles/instr/9966_12_16_17_20_p.pdf,https://rceth.by//NDfiles/instr/9966_12_16_17_20_s.pdf","Boehringer Ingelheim Pharma GmbH & Co. KG, Германия",9966/12/16/17/20,оригинальное,по рецепту,01.06.2017,,3 года,ПРАДАКСА,бессрочно
C05AA,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",Corticosteroids,мазь ректальная  в тубах 25г в комплекте с аппликатором в упаковке №1,Corticosteroids,https://rceth.by//NDfiles/instr/1325_95_02_07_12_19_i.pdf,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",1325/95/02/07/12/19,оригинальное,без рецепта,26.07.2019,,3 года,ПОСТЕРИЗАН ФОРТЕ,бессрочно
C05AX,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",Other agents for treatment of hemorrhoids and anal fissures for topical use,мазь ректальная  в тубах 25г в комплекте с аппликатором в упаковке №1,Other agents for treatment of hemorrhoids and anal fissures for topical use,https://rceth.by//NDfiles/instr/1324_95_02_07_12_17_i.pdf,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",1324/95/02/07/12/17,оригинальное,без рецепта,06.09.2017,,3 года,ПОСТЕРИЗАН,бессрочно
G03AD01,"Gedeon Richter Plc., Венгрия",Levonorgestrel,"таблетки 0,75мг в блистерах в упаковке №2х1",Levonorgestrel,https://rceth.by//NDfiles/instr/5695_02_07_12_14_16_i.pdf,"Gedeon Richter Plc., Венгрия",5695/02/07/12/14/16,генерик,без рецепта,10.08.2016,,5 лет,ПОСТИНОР,бессрочно
C05AX,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",Other agents for treatment of hemorrhoids and anal fissures for topical use,суппозитории ректальные  в блистерах в упаковке №5х2,Other agents for treatment of hemorrhoids and anal fissures for topical use,https://rceth.by//NDfiles/instr/10013_95_02_07_12_17_i.pdf,"Dr. Kade Pharmazeutische Fabrik GmbH, Германия",10013/95/02/07/12/17,оригинальное,без рецепта,06.09.2017,,3 года,ПОСТЕРИЗАН,бессрочно
,"Лекфарм СООО, Республика Беларусь",Pramipexole,субстанция,Pramipexole,,"MSN Laboratories Private Limited, Индия",2233/17,,,29.03.2017,,5 лет,ПРАМИПЕКСОЛА ДИГИДРОХЛОРИД МОНОГИДРАТ,бессрочно
N04BC05,"Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",Pramipexole,"таблетки 0,25мг в контурной ячейковой упаковке №14х2",Pramipexole,"https://rceth.by//NDfiles/instr/20_06_2351_p.pdf,https://rceth.by//NDfiles/instr/20_06_2351_s.pdf","Synthon Hispania,S.L., Испания, расфасовано и упаковано Государственное предприятие АКАДЕМФАРМ, Республика Беларусь",20/06/2351,генерик,по рецепту,16.06.2020,,2 года,ПРАМИПЕКСОЛ-НАН,бессрочно
C04AD03,"Pharmaceutical Works POLPHARMA S.A., Польша",Pentoxifylline,"таблетки пролонгированного действия, покрытые оболочкой, 400мг в блистерах в упаковке №10х2, №10х6",Pentoxifylline,"https://rceth.by//NDfiles/instr/5184_01_06_11_16_p.pdf,https://rceth.by//NDfiles/instr/5184_01_06_11_16_s.pdf","Pharmaceutical Works POLPHARMA S.A., Польша",5184/01/06/11/16,генерик,по рецепту,02.03.2016,,3 года,ПОЛЬФИЛИН РЕТАРД,бессрочно
